order_id,order_date,ship_mode,segment,country,city,state,postal_code,region,category,sub_category,product_id,cost_price,quantity,discount_amount,sale_price,profit
47,2/3/2023 0:00,Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,OFF-ST-10001713,180,4,8.4,201.6,21.6
48,2/16/2022 0:00,Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,TEC-AC-10002167,50,3,2.5,47.5,-2.5
49,5/6/2022 0:00,Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,TEC-PH-10003988,20,2,0.8,19.2,-0.8
50,6/18/2023 0:00,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,OFF-BI-10004410,30,6,1.6,38.4,8.4
51,1/11/2022 0:00,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,OFF-LA-10002762,70,6,3.2,76.8,6.8
52,9/9/2023 0:00,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,FUR-FU-10001706,10,2,0.4,9.6,-0.4
53,1/31/2022 0:00,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,FUR-CH-10003061,70,1,4.5,85.5,15.5
54,7/30/2023 0:00,Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,OFF-FA-10000304,20,7,0.6,19.4,-0.6
55,10/17/2023 0:00,Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,TEC-PH-10002447,850,5,41.2,988.8,138.8
56,7/6/2023 0:00,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,OFF-ST-10000604,200,6,10.5,199.5,-0.5
57,9/15/2023 0:00,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,OFF-PA-10001569,30,5,1.5,28.5,-1.5
58,8/9/2022 0:00,First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,FUR-CH-10003968,290,5,6.4,313.6,23.6
59,4/5/2022 0:00,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,OFF-PA-10000587,10,2,0.4,9.6,-0.4
60,6/24/2023 0:00,First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,TEC-AC-10002167,20,2,1.5,28.5,8.5
61,3/10/2022 0:00,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,OFF-BI-10001460,40,4,1,49,9
62,4/8/2023 0:00,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,OFF-AR-10001868,0,1,0,0,0
63,10/16/2023 0:00,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,TEC-AC-10004633,10,2,0.3,9.7,-0.3
64,8/2/2023 0:00,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,OFF-BI-10001078,20,6,0.6,29.4,9.4
65,11/5/2022 0:00,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,OFF-PA-10003892,130,3,7.5,142.5,12.5
66,5/6/2022 0:00,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,FUR-FU-10000397,70,4,1.6,78.4,8.4
67,3/26/2022 0:00,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,FUR-CH-10001146,180,5,10.5,199.5,19.5
68,4/10/2022 0:00,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,OFF-AR-10002671,940,8,33.3,1076.7,136.7
69,8/12/2022 0:00,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,TEC-PH-10002726,160,4,5.1,164.9,4.9
70,2/25/2022 0:00,First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,OFF-PA-10000482,70,2,1.6,78.4,8.4
71,11/29/2022 0:00,Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,OFF-BI-10004654,0,1,0,0,0
72,12/18/2022 0:00,Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,OFF-PA-10004675,20,3,0.6,19.4,-0.6
73,3/7/2023 0:00,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,FUR-CH-10000513,790,8,16.6,813.4,23.4
74,7/12/2023 0:00,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,FUR-FU-10003708,90,2,3,97,7
75,10/21/2022 0:00,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,OFF-ST-10004123,60,1,1.4,68.6,8.6
76,4/17/2023 0:00,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,OFF-BI-10004182,0,3,0,0,0
77,5/20/2023 0:00,First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,FUR-FU-10000260,10,3,0.4,9.6,-0.4
78,5/13/2023 0:00,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,OFF-ST-10000615,20,3,0.6,29.4,9.4
79,10/20/2022 0:00,Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,FUR-FU-10003194,20,5,0.4,19.6,-0.4
80,10/22/2023 0:00,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,OFF-AP-10002118,190,1,6.3,203.7,13.7
81,7/20/2022 0:00,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,OFF-BI-10002309,20,3,0.4,19.6,-0.4
82,11/16/2022 0:00,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,OFF-AR-10002053,10,5,0.5,9.5,-0.5
83,11/10/2022 0:00,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,OFF-ST-10002370,20,1,0.8,19.2,-0.8
84,3/15/2022 0:00,Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,OFF-EN-10000927,180,7,6,194,14
85,10/3/2023 0:00,First Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,OFF-ST-10003656,210,3,4.6,225.4,15.4
86,3/20/2022 0:00,Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,FUR-CH-10000863,260,2,15,285,25
87,12/4/2023 0:00,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,TEC-AC-10001998,20,1,1,19,-1
88,11/24/2023 0:00,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,OFF-LA-10000134,10,2,0.5,9.5,-0.5
89,12/30/2023 0:00,Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,OFF-ST-10003442,140,7,8,152,12
90,5/23/2022 0:00,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,OFF-AR-10004930,20,3,0.4,19.6,-0.4
91,4/6/2023 0:00,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,TEC-PH-10004093,60,2,1.4,68.6,8.6
92,3/23/2022 0:00,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,OFF-PA-10000304,10,1,0.2,9.8,-0.2
93,4/7/2023 0:00,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,OFF-PA-10003177,10,2,0.2,9.8,-0.2
94,5/13/2022 0:00,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,FUR-FU-10003799,50,3,2.5,47.5,-2.5
95,4/23/2022 0:00,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,OFF-BI-10002852,20,2,0.9,29.1,9.1
96,12/17/2023 0:00,Standard Class,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,OFF-BI-10004738,10,1,0.2,9.8,-0.2
97,4/28/2022 0:00,Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,FUR-FU-10000629,80,7,5,95,15
98,6/14/2023 0:00,First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,OFF-BI-10001721,40,3,2,48,8
99,2/5/2023 0:00,Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,OFF-AP-10000358,70,6,2.4,77.6,7.6
100,12/30/2023 0:00,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,OFF-PA-10003256,60,7,1.8,58.2,-1.8
101,2/24/2022 0:00,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,TEC-AC-10001767,80,3,5,95,15
102,7/25/2022 0:00,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,OFF-BI-10002609,0,3,0,0,0
103,1/14/2022 0:00,Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,OFF-PA-10004040,20,4,0.8,19.2,-0.8
104,12/22/2022 0:00,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,TEC-AC-10001552,220,6,7.2,232.8,12.8
105,6/9/2022 0:00,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,FUR-FU-10004006,90,3,5,95,5
106,10/28/2023 0:00,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,OFF-BI-10002794,30,3,2,38,8
107,10/18/2022 0:00,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,TEC-AC-10003499,60,8,3.5,66.5,6.5
108,11/23/2022 0:00,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,TEC-PH-10002844,30,1,0.9,29.1,-0.9
109,10/12/2023 0:00,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,OFF-AR-10000390,0,1,0,0,0
110,3/17/2023 0:00,Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,TEC-AC-10000844,290,5,6.8,333.2,43.2
111,9/5/2023 0:00,Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,FUR-FU-10001934,30,2,0.8,39.2,9.2
112,1/28/2022 0:00,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,OFF-AR-10000380,70,2,2.4,77.6,7.6
113,12/26/2022 0:00,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,OFF-BI-10003981,30,6,0.9,29.1,-0.9
114,6/6/2023 0:00,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,OFF-FA-10000621,40,14,0.8,39.2,-0.8
115,11/8/2023 0:00,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,OFF-EN-10002600,0,2,0,0,0
116,11/15/2022 0:00,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,OFF-PA-10004965,20,3,0.8,19.2,-0.8
117,6/30/2022 0:00,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,OFF-EN-10002504,120,6,6.5,123.5,3.5
118,10/27/2023 0:00,Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,FUR-TA-10001768,720,3,31.6,758.4,38.4
119,7/19/2023 0:00,Regular Class,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders,OFF-BI-10003650,140,1,8,152,12
120,3/30/2023 0:00,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,FUR-FU-10002157,50,3,1.5,48.5,-1.5
121,3/3/2022 0:00,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,OFF-BI-10003910,20,4,0.6,29.4,9.4
122,10/20/2022 0:00,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,OFF-ST-10000777,190,6,4.6,225.4,35.4
123,1/23/2023 0:00,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,OFF-EN-10002500,110,9,4.8,115.2,5.2
124,1/21/2023 0:00,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Technology,Phones,TEC-PH-10003875,60,7,1.4,68.6,8.6
125,7/18/2023 0:00,Second Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,FUR-CH-10004063,550,3,18,582,32
126,7/15/2023 0:00,Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,FUR-TA-10004534,540,6,24.8,595.2,55.2
127,7/14/2022 0:00,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,OFF-BI-10003274,0,2,0,0,0
128,3/30/2023 0:00,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage,OFF-ST-10002974,200,7,9.6,230.4,30.4
129,9/18/2023 0:00,Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Chairs,FUR-CH-10001146,70,2,1.6,78.4,8.4
130,1/3/2022 0:00,Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings,FUR-FU-10003773,220,3,9.6,230.4,10.4
131,7/17/2022 0:00,First Class,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones,TEC-PH-10002293,50,5,1.8,58.2,8.2
132,3/30/2022 0:00,First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,OFF-PA-10002377,80,2,3.2,76.8,-3.2
133,5/1/2022 0:00,First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,OFF-FA-10002780,20,9,1,19,-1
134,4/29/2023 0:00,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,OFF-PA-10001804,20,3,0.8,19.2,-0.8
135,10/28/2022 0:00,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,OFF-PA-10001736,30,1,2,38,8
136,3/5/2022 0:00,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Art,OFF-AR-10001149,10,4,0.5,9.5,-0.5
137,3/28/2022 0:00,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Fasteners,OFF-FA-10002988,0,2,0,0,0
138,10/16/2023 0:00,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Binders,OFF-BI-10004781,70,3,1.6,78.4,8.4
139,5/15/2022 0:00,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Supplies,OFF-SU-10001218,60,6,3.5,66.5,6.5
140,6/6/2023 0:00,Standard Class,Consumer,United States,Roseville,California,95661,West,Furniture,Furnishings,FUR-FU-10001706,40,14,0.8,39.2,-0.8
141,6/10/2022 0:00,Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,FUR-FU-10004848,60,2,1.6,78.4,18.4
142,7/22/2022 0:00,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Art,OFF-AR-10000940,10,3,0.3,9.7,-0.3
143,12/27/2023 0:00,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Envelopes,OFF-EN-10004030,10,3,0.2,9.8,-0.2
144,11/29/2023 0:00,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper,OFF-PA-10004327,130,3,7,133,3
145,3/19/2022 0:00,Standard Class,Consumer,United States,Independence,Missouri,64055,Central,Office Supplies,Appliances,OFF-AP-10001058,780,3,16.8,823.2,43.2
146,6/4/2023 0:00,Standard Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Storage,OFF-ST-10003656,600,7,20.1,649.9,49.9
147,5/31/2023 0:00,Standard Class,Home Office,United States,Newark,Ohio,43055,East,Furniture,Furnishings,FUR-FU-10000521,80,4,3.6,86.4,6.4
148,6/12/2022 0:00,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,TEC-PH-10000215,350,11,15.2,364.8,14.8
149,5/18/2022 0:00,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,TEC-PH-10001448,140,3,7.5,142.5,2.5
150,1/23/2022 0:00,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Furniture,Chairs,FUR-CH-10000454,1580,8,58.5,1891.5,311.5
151,8/21/2023 0:00,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Office Supplies,Binders,OFF-BI-10002735,150,5,6.8,163.2,13.2
152,8/31/2023 0:00,First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Office Supplies,Appliances,OFF-AP-10000326,140,5,8,152,12
153,10/25/2022 0:00,First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Technology,Phones,TEC-PH-10001254,160,2,4,196,36
154,10/7/2022 0:00,First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,OFF-PA-10001950,50,7,2.4,57.6,7.6
155,3/25/2023 0:00,First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,OFF-PA-10002254,100,4,4.4,105.6,5.6
156,3/27/2023 0:00,First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Storage,OFF-ST-10001590,60,6,3.2,76.8,16.8
157,5/3/2022 0:00,Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Art,OFF-AR-10001547,10,3,0.3,9.7,-0.3
158,5/18/2022 0:00,Second Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs,FUR-CH-10004063,380,2,9.2,450.8,70.8
159,4/25/2022 0:00,Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Office Supplies,Labels,OFF-LA-10002475,10,2,0.3,9.7,-0.3
160,6/30/2022 0:00,Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Technology,Phones,TEC-PH-10004536,870,7,47,893,23
161,1/10/2022 0:00,First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,OFF-PA-10002751,10,1,0.4,9.6,-0.4
162,11/27/2023 0:00,Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,TEC-AC-10003657,40,2,2.5,47.5,7.5
163,2/16/2022 0:00,Standard Class,Consumer,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Envelopes,OFF-EN-10001990,30,5,1.2,28.8,-1.2
164,8/14/2022 0:00,Standard Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Binders,OFF-BI-10004002,20,2,0.9,29.1,9.1
165,10/14/2023 0:00,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,OFF-AR-10004441,10,3,0.5,9.5,-0.5
166,10/16/2022 0:00,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Machines,TEC-MA-10000822,6850,8,326.4,7833.6,983.6
167,11/20/2022 0:00,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Storage,OFF-ST-10000991,250,3,11.2,268.8,18.8
168,11/4/2023 0:00,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Furniture,Chairs,FUR-CH-10004287,1620,9,69.6,1670.4,50.4
169,6/16/2023 0:00,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,OFF-AR-10002656,30,6,1.2,28.8,-1.2
170,10/20/2022 0:00,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Appliances,OFF-AP-10002518,150,5,3.6,176.4,26.4
171,7/12/2022 0:00,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Phones,TEC-PH-10003931,120,3,7,133,13
172,1/28/2022 0:00,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,OFF-PA-10000659,20,3,0.4,19.6,-0.4
173,10/10/2023 0:00,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,OFF-PA-10001144,100,2,4.4,105.6,5.6
174,10/5/2022 0:00,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Chairs,FUR-CH-10003817,290,7,6.8,333.2,43.2
175,1/2/2023 0:00,Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Appliances,OFF-AP-10000891,50,2,2,48,-2
176,4/7/2023 0:00,Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Labels,OFF-LA-10003148,20,4,1,19,-1
177,4/21/2022 0:00,Second Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Appliances,OFF-AP-10002684,90,4,2,98,8
